"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"THRA1/BTR",1.06908847698746,1.42305605444267,0.47626810378828,2.98793062798779,0.0028087329960776,0.0908009780352333,0.494929015901026
"C10orf71-AS1",1.54304098328714,2.2924883292281,0.687664155958314,3.33373247589638,0.000856890306706348,0.0471601427636551,0.528306094368002
"LL22NC03-121E8.4",0.349101221920317,1.01900749673655,0.512371918958547,1.9888043412055,0.0467228034355466,1,0
"KLHL41",137.696996652596,1.20946528093854,0.193599263954902,6.24726177275279,4.17710676371705e-10,6.66343474521546e-07,2.15685041642355
"STRIT1",22.2733043593886,1.19001308371797,0.413104978813204,2.88065538967048,0.00396849278061917,0.0576889796815446,1.67704894506228
"RPL5P13",0.90549726377883,1.10942348150282,0.359346362018787,3.08733745144975,0.00201958190294796,0.15116529194495,0.138397350881669
"RAD21L1",0.835586983746594,1.0252885171245,0.456414617517053,2.24639719626462,0.0246785777649837,0.576191580436673,0.138397350881669
"RP11-806K15.1",0.610900795329353,1.07737825259965,0.465186073325486,2.31601570721533,0.0205574110911074,0.284847712851112,0.443626124412693
"RP11-8L2.1",6.0910985331338,1.01713860912176,0.290759561435431,3.49821207632971,0.000468388520771657,0.0331049444985705,0.568537995857626
"OR7E85P",0.719544111648743,1.76492763700639,0.523527598118996,3.3712217719709,0.000748355878182747,0.0489508398488098,0.421029280033865
"RP11-713M6.2",1.72626584526472,2.25864418829689,0.769243050354092,2.93619056715197,0.00332270131498634,0.0957241775878676,0.53081734869188
"F11-AS1",21.9003487750646,1.16042038277512,0.275684344885717,4.20923568676403,2.56235996637795e-05,0.0035680915422266,1.67704894506228
"UNC93B7",1.18687894437314,1.2550146768199,0.37628262716752,3.33529795480346,0.000852080480811266,0.0444255234293333,0.580914653900378
"RNA5SP466",0.719606336048505,1.02746287958756,0.314751920760197,3.26435777454829,0.00109712529690853,0.0588962391188266,0.446986994137115
"RP11-6I2.4",0.844051988338822,1.22438376155169,0.543684904377213,2.25200985293901,0.0243216493746455,0.311367735879162,0.446986994137115
"RP11-10H3.1",0.427548667295383,1.01485047286679,0.513534513288187,1.9762069473552,0.0481313433746313,1,0
"RP11-110G21.2",1.98870769548544,1.04277912939517,0.300327291463458,3.47214242273433,0.00051632233783669,0.0298521539361177,0.747609436181733
"RP11-39H3.1",0.498111300299739,1.56116904130644,0.691603292703968,2.25731869378863,0.0239881680903973,1,0
"LINC02584",1.1286050388617,1.73798837438218,0.406944400376747,4.27082513673406,1.94751067283658e-05,0.00549644014167438,0.553901315060074
"NAV2-AS4",0.904910315757171,2.02986911126076,0.767745925827618,2.6439334198649,0.0081948773891466,0.171848294095477,0.446986994137115
