,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000270240.2,4.939356802,0.70965451,0.168521649,4.211058434,2.54E-05,0.004016747
ENSG00000060718.17,51.61978491,-0.794413721,0.188655509,-4.210922475,2.54E-05,0.004016747
ENSG00000118194.17,52.72544716,0.666456611,0.158292422,4.210287536,2.55E-05,0.004016747
ENSG00000251165.4,21.90034878,1.160420383,0.275684345,4.209235687,2.56E-05,0.004017713
ENSG00000168505.6,2.753639118,-1.199588446,0.285331548,-4.204191417,2.62E-05,0.00409034
ENSG00000117385.14,1525.967558,0.201987355,0.0480694,4.2019945,2.65E-05,0.00410215
ENSG00000166415.13,48.20005091,-1.094404193,0.260475503,-4.201562826,2.65E-05,0.00410215
ENSG00000211666.2,321.3761127,-0.835355252,0.19906624,-4.196368267,2.71E-05,0.004179159
ENSG00000164841.4,6.127843341,-0.549260024,0.130957493,-4.194185544,2.74E-05,0.004201412
ENSG00000279085.1,1.889110088,-0.860374476,0.205240956,-4.192021375,2.76E-05,0.004223498
ENSG00000128513.13,1198.553183,-0.205544774,0.049100207,-4.186230294,2.84E-05,0.004314139
ENSG00000248780.1,17.24865701,0.477427932,0.11415394,4.182316731,2.89E-05,0.004370421
ENSG00000104738.15,1387.818082,-0.263613631,0.06304721,-4.181210079,2.90E-05,0.00437314
ENSG00000118849.8,1558.347963,-0.613333468,0.14672538,-4.180145716,2.91E-05,0.004375121
ENSG00000167004.11,52479.7642,0.269200087,0.064432247,4.178033532,2.94E-05,0.004397385
ENSG00000112799.7,164.4918743,-0.385537726,0.092313909,-4.17637743,2.96E-05,0.004410974
ENSG00000279485.1,1.03068413,-2.147598346,0.514395266,-4.174996327,2.98E-05,0.004419329
ENSG00000044574.7,44204.90166,0.250127021,0.059933072,4.173438985,3.00E-05,0.004431196
ENSG00000204569.8,5864.907769,0.180823167,0.043340797,4.172123677,3.02E-05,0.004432526
ENSG00000133116.7,1617.400128,0.802004661,0.192258645,4.171488159,3.03E-05,0.004432526
ENSG00000224081.6,116.099441,0.501934741,0.120378113,4.16965118,3.05E-05,0.004450091
ENSG00000175302.5,1.251556277,-1.475833535,0.354068724,-4.168212086,3.07E-05,0.004459995
ENSG00000129170.7,59.00302994,2.753456983,0.660838004,4.166614159,3.09E-05,0.004473101
ENSG00000017427.14,686.7046495,0.690043756,0.165740488,4.163398841,3.14E-05,0.004505663
ENSG00000146147.13,33.12562905,0.859423635,0.206437792,4.163111924,3.14E-05,0.004505663
ENSG00000271420.1,130.9735986,0.408037419,0.09803795,4.16203539,3.15E-05,0.004507189
ENSG00000211899.6,2222.967313,-0.815635095,0.196009541,-4.161200975,3.17E-05,0.004507189
ENSG00000104371.4,10.86950929,-1.011914325,0.243375594,-4.157829904,3.21E-05,0.004555976
ENSG00000122477.11,52.9999455,0.537441416,0.129344518,4.155115544,3.25E-05,0.004592107
